1;Economic Risks#Eco 1;1;0;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.4;0.2;0.3;0;0.3;0.4;0.2;0.1;0.2;0.3;0.1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Economic Risks#Eco 2;0;1;0;0;0;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0.2;0.2;0.2;0.1;0;0.3;0.2;0.3;0.2;0.1;0.2;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Economic Risks#Eco 3;0;0;1;0;0;0;0;0;0;0;-0.2;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.058467284;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Economic Risks#Eco 4;0;0;0;1;0;0;0;0;0;0;-0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Economic Risks#Eco 5;0;0;0;0;1;0;0;0;0;0;-0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Economic Risks#Eco 6;0;0;0;0;0;1;0.8;0.3;0.5;0;0.2;0.2;0.3;0.3;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0.041124362;0.3;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Economic Risks#Eco 7;0;0;0;0;0;0.8;1;0.3;0.5;0;0.2;0.2;0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Economic Risks#Eco 8;0;0;0;0;0;0.3;0.1;1;0.5;0.4;0.5;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Economic Risks#Eco 9;0;0;0;0;0;0.1;0.5;0;1;0;0.2;0;0;0.194149944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.135342726;0.247744821;0;0;0.153895346;0.250550711;0.04069203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Economic Risks#Eco 10;0;0;0;0;0;0.129117928;0.129117928;0.5;0.1;1;0.54681006;0.074263157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.245716433;0.058167321;0;0;0.379617053;0.070775192;0.101229985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Economic Risks#Eco 11;0;0;-0.2;-0.2;-0.2;0;0;0.8;0.277849309;0.54681006;1;0.2;0.3;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.072808965;0.4;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Economic Risks#Eco 12;0;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;-0.113417059;0.1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Economic Risks#Eco 13;0;0;0;0;0;0.3;0;0;0;0;0.4;0;1;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.3;0;0;0.03701892;0.3;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.2;0.281181582;0.23946019;0.222433995
14;Economic Risks#Eco 14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.2;0;0;-0.197402019;0.3;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
